"population","id","imfGDP","unGDP","country","gdpPerCapita","continent","rank"
341814420,840,26949640000000,25744100000000,"United States",78842.89960616641,"North America",1
1425178782,156,17700900000000,17963170521080,"China",12420.125968448498,"Asia",2
83252474,276,4429840000000,4076923618912,"Germany",53209.71002014907,"Europe",3
122631432,392,4230859999999.9995,4232173916087,"Japan",34500.61644880735,"Asia",4
1441719852,356,3732220000000,3465541446546,"India",2588.7276191852006,"Asia",5
67961439,826,3332060000000,3089072722400,"United Kingdom",49028.68522251272,"Europe",6
64881830,250,3049020000000,2775316950606,"France",46993.43406312676,"Europe",7
58697744,380,2186080000000,2046952679267,"Italy",37242.99864062919,"Europe",8
217637297,76,2126810000000,1920095477164,"Brazil",9772.268031797877,"South America",9
39107046,124,2117810000000,2137939220075,"Canada",54154.179786425186,"North America",10
143957079,643,1862470000000,2240422438363,"Russia",12937.675680401935,"Europe",11
129388467,484,1811470000000,1463323889037,"Mexico",14000.243159229949,"North America",12
51741963,410,1709230000000,1673916512232,"South Korea",33033.72931560405,"Asia",13
26699482,36,1687710000000,1776577055828,"Australia",63211.33870687079,"Oceania",14
47473373,724,1582050000000,1415874440909,"Spain",33324.99673027236,"Europe",15
279798049,360,1417390000000,1319100220389,"Indonesia",5065.760840955685,"Asia",16
86260417,792,1154600000000,907118411781,"Turkey",13385.050062997028,"Europe",17
17671125,528,1092750000000,1008027491155,"Netherlands",61838.16819811981,"Europe",18
37473929,682,1069440000000,1108148978218,"Saudi Arabia",28538.24054584722,"Asia",19
8851431,756,905684000000,818426550206,"Switzerland",102320.63041557913,"Europe",20
40221726,616,842172000000,688125010515,"Poland",20938.236215919726,"Europe",21
23950214,158,751930000000,0,"Taiwan",31395.54410662051,"Asia",22
11715774,56,627511000000,582643021606,"Belgium",53561.20730905188,"Europe",23
46057866,32,621833000000,631133142842,"Argentina",13501.124867574195,"South America",24
10673669,752,597110000000,591188594777,"Sweden",55942.33810323329,"Europe",25
5089478,372,589569000000,532415762408,"Ireland",115840.76009366776,"Europe",26
5514477,578,546768000000,579422449510,"Norway",99151.37917884144,"Europe",27
8977139,40,526182000000,470302170937,"Austria",58613.55160034839,"Europe",28
9311652,376,521688000000,525002447653,"Israel",56025.28960489503,"Asia",29
71885799,764,512193000000,495340592811,"Thailand",7125.092954729487,"Asia",30
9591853,784,509179000000,507063968273,"United Arab Emirates",53084.52913112826,"Asia",31
6052709,702,497347000000,466788684720,"Singapore",82169.32286022672,"Asia",32
174701211,50,446349000000,432677196297,"Bangladesh",2554.927910602749,"Asia",33
119106224,608,435675000000,404284327312,"Philippines",3657.869298249267,"Asia",34
99497680,704,433356000000,408802379068,"Vietnam",4355.438237353876,"Asia",35
34671895,458,430895000000,406305835133,"Malaysia",12427.789135840427,"Asia",36
5939695,208,420800000000,400167196949,"Denmark",70845.38852584182,"Europe",37
114484252,818,398397000000,409306889921,"Egypt",3479.9284009821718,"Africa",38
229152217,566,390002000000,475058516256,"Nigeria",1701.9342213040863,"Africa",39
7496681,344,385546000000,359838598806,"Hong Kong",51428.89233248687,"Asia",40
61020221,710,380906000000,405270838094,"South Africa",6242.291387309135,"Africa",41
89809781,364,366438000000,398047827909,"Iran",4080.1569263374554,"Asia",42
52340774,170,363835000000,343939431021,"Colombia",6951.272826038071,"South America",43
19618996,642,350414000000,300690523038,"Romania",17860.954760376117,"Europe",44
19658839,152,344400000000,300686006235,"Chile",17518.83720091507,"South America",45
245209815,586,340636000000,326796632109,"Pakistan",1389.1613596299153,"Asia",46
10503734,203,335243000000,290527550627,"Czech Republic",31916.554627144975,"Europe",47
